seed,step,mirror_weight,bin_width_cents,bin_center_cents,mass
12648440,597,0.000,25.0,212.500,0.000000
12648440,597,0.000,25.0,237.500,0.000000
12648440,597,0.000,25.0,262.500,0.187500
12648440,597,0.000,25.0,287.500,0.000000
12648440,597,0.000,25.0,312.500,0.093750
12648440,597,0.000,25.0,337.500,0.000000
12648440,597,0.000,25.0,362.500,0.000000
12648440,597,0.000,25.0,387.500,0.062500
12648440,597,0.000,25.0,412.500,0.000000
12648440,597,0.000,25.0,437.500,0.000000
12648440,597,0.000,25.0,462.500,0.000000
12648440,597,0.000,25.0,487.500,0.062500
12648440,597,0.000,25.0,512.500,0.031250
12648440,597,0.000,25.0,537.500,0.000000
12648440,597,0.000,25.0,562.500,0.000000
12648440,597,0.000,25.0,587.500,0.000000
12648440,597,0.000,25.0,612.500,0.000000
12648440,597,0.000,25.0,637.500,0.031250
12648440,597,0.000,25.0,662.500,0.125000
12648440,597,0.000,25.0,687.500,0.000000
12648440,597,0.000,25.0,712.500,0.000000
12648440,597,0.000,25.0,737.500,0.000000
12648440,597,0.000,25.0,762.500,0.000000
12648440,597,0.000,25.0,787.500,0.000000
12648440,597,0.000,25.0,812.500,0.000000
12648440,597,0.000,25.0,837.500,0.000000
12648440,597,0.000,25.0,862.500,0.000000
12648440,597,0.000,25.0,887.500,0.000000
12648440,597,0.000,25.0,912.500,0.000000
12648440,597,0.000,25.0,937.500,0.000000
12648440,597,0.000,25.0,962.500,0.000000
12648440,597,0.000,25.0,987.500,0.000000
12648440,597,0.000,25.0,1012.500,0.000000
12648440,597,0.000,25.0,1037.500,0.000000
12648440,597,0.000,25.0,1062.500,0.000000
12648440,597,0.000,25.0,1087.500,0.000000
12648440,597,0.000,25.0,1112.500,0.000000
12648440,597,0.000,25.0,1137.500,0.000000
12648440,597,0.000,25.0,1162.500,0.000000
12648440,597,0.000,25.0,1187.500,0.000000
12648440,598,0.000,25.0,12.500,0.000000
12648440,598,0.000,25.0,37.500,0.000000
12648440,598,0.000,25.0,62.500,0.062500
12648440,598,0.000,25.0,87.500,0.000000
12648440,598,0.000,25.0,112.500,0.312500
12648440,598,0.000,25.0,137.500,0.031250
12648440,598,0.000,25.0,162.500,0.000000
12648440,598,0.000,25.0,187.500,0.000000
12648440,598,0.000,25.0,212.500,0.000000
12648440,598,0.000,25.0,237.500,0.000000
12648440,598,0.000,25.0,262.500,0.187500
12648440,598,0.000,25.0,287.500,0.000000
12648440,598,0.000,25.0,312.500,0.093750
12648440,598,0.000,25.0,337.500,0.000000
12648440,598,0.000,25.0,362.500,0.000000
12648440,598,0.000,25.0,387.500,0.062500
12648440,598,0.000,25.0,412.500,0.000000
12648440,598,0.000,25.0,437.500,0.000000
12648440,598,0.000,25.0,462.500,0.000000
12648440,598,0.000,25.0,487.500,0.062500
12648440,598,0.000,25.0,512.500,0.031250
12648440,598,0.000,25.0,537.500,0.000000
12648440,598,0.000,25.0,562.500,0.000000
12648440,598,0.000,25.0,587.500,0.000000
12648440,598,0.000,25.0,612.500,0.000000
12648440,598,0.000,25.0,637.500,0.031250
12648440,598,0.000,25.0,662.500,0.125000
12648440,598,0.000,25.0,687.500,0.000000
12648440,598,0.000,25.0,712.500,0.000000
12648440,598,0.000,25.0,737.500,0.000000
12648440,598,0.000,25.0,762.500,0.000000
12648440,598,0.000,25.0,787.500,0.000000
12648440,598,0.000,25.0,812.500,0.000000
12648440,598,0.000,25.0,837.500,0.000000
12648440,598,0.000,25.0,862.500,0.000000
12648440,598,0.000,25.0,887.500,0.000000
12648440,598,0.000,25.0,912.500,0.000000
12648440,598,0.000,25.0,937.500,0.000000
12648440,598,0.000,25.0,962.500,0.000000
12648440,598,0.000,25.0,987.500,0.000000
12648440,598,0.000,25.0,1012.500,0.000000
12648440,598,0.000,25.0,1037.500,0.000000
12648440,598,0.000,25.0,1062.500,0.000000
12648440,598,0.000,25.0,1087.500,0.000000
12648440,598,0.000,25.0,1112.500,0.000000
12648440,598,0.000,25.0,1137.500,0.000000
12648440,598,0.000,25.0,1162.500,0.000000
12648440,598,0.000,25.0,1187.500,0.000000
12648440,599,0.000,25.0,12.500,0.000000
12648440,599,0.000,25.0,37.500,0.000000
12648440,599,0.000,25.0,62.500,0.062500
12648440,599,0.000,25.0,87.500,0.000000
12648440,599,0.000,25.0,112.500,0.312500
12648440,599,0.000,25.0,137.500,0.031250
12648440,599,0.000,25.0,162.500,0.000000
12648440,599,0.000,25.0,187.500,0.000000
12648440,599,0.000,25.0,212.500,0.000000
12648440,599,0.000,25.0,237.500,0.000000
12648440,599,0.000,25.0,262.500,0.187500
12648440,599,0.000,25.0,287.500,0.000000
12648440,599,0.000,25.0,312.500,0.093750
12648440,599,0.000,25.0,337.500,0.000000
12648440,599,0.000,25.0,362.500,0.000000
12648440,599,0.000,25.0,387.500,0.062500
12648440,599,0.000,25.0,412.500,0.000000
12648440,599,0.000,25.0,437.500,0.000000
12648440,599,0.000,25.0,462.500,0.000000
12648440,599,0.000,25.0,487.500,0.062500
12648440,599,0.000,25.0,512.500,0.031250
12648440,599,0.000,25.0,537.500,0.000000
12648440,599,0.000,25.0,562.500,0.000000
12648440,599,0.000,25.0,587.500,0.000000
12648440,599,0.000,25.0,612.500,0.000000
12648440,599,0.000,25.0,637.500,0.031250
12648440,599,0.000,25.0,662.500,0.125000
12648440,599,0.000,25.0,687.500,0.000000
12648440,599,0.000,25.0,712.500,0.000000
12648440,599,0.000,25.0,737.500,0.000000
12648440,599,0.000,25.0,762.500,0.000000
12648440,599,0.000,25.0,787.500,0.000000
12648440,599,0.000,25.0,812.500,0.000000
12648440,599,0.000,25.0,837.500,0.000000
12648440,599,0.000,25.0,862.500,0.000000
12648440,599,0.000,25.0,887.500,0.000000
12648440,599,0.000,25.0,912.500,0.000000
12648440,599,0.000,25.0,937.500,0.000000
12648440,599,0.000,25.0,962.500,0.000000
12648440,599,0.000,25.0,987.500,0.000000
12648440,599,0.000,25.0,1012.500,0.000000
12648440,599,0.000,25.0,1037.500,0.000000
12648440,599,0.000,25.0,1062.500,0.000000
12648440,599,0.000,25.0,1087.500,0.000000
12648440,599,0.000,25.0,1112.500,0.000000
12648440,599,0.000,25.0,1137.500,0.000000
12648440,599,0.000,25.0,1162.500,0.000000
12648440,599,0.000,25.0,1187.500,0.000000
12648440,600,1.000,25.0,12.500,0.000000
12648440,600,1.000,25.0,37.500,0.000000
12648440,600,1.000,25.0,62.500,0.062500
12648440,600,1.000,25.0,87.500,0.000000
12648440,600,1.000,25.0,112.500,0.312500
12648440,600,1.000,25.0,137.500,0.031250
12648440,600,1.000,25.0,162.500,0.000000
12648440,600,1.000,25.0,187.500,0.000000
12648440,600,1.000,25.0,212.500,0.000000
12648440,600,1.000,25.0,237.500,0.000000
12648440,600,1.000,25.0,262.500,0.187500
12648440,600,1.000,25.0,287.500,0.000000
12648440,600,1.000,25.0,312.500,0.093750
12648440,600,1.000,25.0,337.500,0.000000
12648440,600,1.000,25.0,362.500,0.000000
12648440,600,1.000,25.0,387.500,0.062500
12648440,600,1.000,25.0,412.500,0.000000
12648440,600,1.000,25.0,437.500,0.000000
12648440,600,1.000,25.0,462.500,0.000000
12648440,600,1.000,25.0,487.500,0.062500
12648440,600,1.000,25.0,512.500,0.031250
12648440,600,1.000,25.0,537.500,0.000000
12648440,600,1.000,25.0,562.500,0.000000
12648440,600,1.000,25.0,587.500,0.000000
12648440,600,1.000,25.0,612.500,0.000000
12648440,600,1.000,25.0,637.500,0.031250
12648440,600,1.000,25.0,662.500,0.125000
12648440,600,1.000,25.0,687.500,0.000000
12648440,600,1.000,25.0,712.500,0.000000
12648440,600,1.000,25.0,737.500,0.000000
12648440,600,1.000,25.0,762.500,0.000000
12648440,600,1.000,25.0,787.500,0.000000
12648440,600,1.000,25.0,812.500,0.000000
12648440,600,1.000,25.0,837.500,0.000000
12648440,600,1.000,25.0,862.500,0.000000
12648440,600,1.000,25.0,887.500,0.000000
12648440,600,1.000,25.0,912.500,0.000000
12648440,600,1.000,25.0,937.500,0.000000
12648440,600,1.000,25.0,962.500,0.000000
12648440,600,1.000,25.0,987.500,0.000000
12648440,600,1.000,25.0,1012.500,0.000000
12648440,600,1.000,25.0,1037.500,0.000000
12648440,600,1.000,25.0,1062.500,0.000000
12648440,600,1.000,25.0,1087.500,0.000000
12648440,600,1.000,25.0,1112.500,0.000000
12648440,600,1.000,25.0,1137.500,0.000000
12648440,600,1.000,25.0,1162.500,0.000000
12648440,600,1.000,25.0,1187.500,0.000000
12648440,601,1.000,25.0,12.500,0.000000
12648440,601,1.000,25.0,37.500,0.000000
12648440,601,1.000,25.0,62.500,0.062500
12648440,601,1.000,25.0,87.500,0.000000
12648440,601,1.000,25.0,112.500,0.312500
12648440,601,1.000,25.0,137.500,0.031250
12648440,601,1.000,25.0,162.500,0.000000
12648440,601,1.000,25.0,187.500,0.000000
12648440,601,1.000,25.0,212.500,0.000000
12648440,601,1.000,25.0,237.500,0.000000
12648440,601,1.000,25.0,262.500,0.187500
12648440,601,1.000,25.0,287.500,0.000000
12648440,601,1.000,25.0,312.500,0.093750
12648440,601,1.000,25.0,337.500,0.000000
12648440,601,1.000,25.0,362.500,0.000000
12648440,601,1.000,25.0,387.500,0.062500
12648440,601,1.000,25.0,412.500,0.000000
12648440,601,1.000,25.0,437.500,0.000000
12648440,601,1.000,25.0,462.500,0.000000
12648440,601,1.000,25.0,487.500,0.062500
12648440,601,1.000,25.0,512.500,0.031250
12648440,601,1.000,25.0,537.500,0.000000
12648440,601,1.000,25.0,562.500,0.000000
12648440,601,1.000,25.0,587.500,0.000000
12648440,601,1.000,25.0,612.500,0.000000
12648440,601,1.000,25.0,637.500,0.062500
12648440,601,1.000,25.0,662.500,0.093750
12648440,601,1.000,25.0,687.500,0.000000
12648440,601,1.000,25.0,712.500,0.000000
12648440,601,1.000,25.0,737.500,0.000000
12648440,601,1.000,25.0,762.500,0.000000
12648440,601,1.000,25.0,787.500,0.000000
12648440,601,1.000,25.0,812.500,0.000000
12648440,601,1.000,25.0,837.500,0.000000
12648440,601,1.000,25.0,862.500,0.000000
12648440,601,1.000,25.0,887.500,0.000000
12648440,601,1.000,25.0,912.500,0.000000
12648440,601,1.000,25.0,937.500,0.000000
12648440,601,1.000,25.0,962.500,0.000000
12648440,601,1.000,25.0,987.500,0.000000
12648440,601,1.000,25.0,1012.500,0.000000
12648440,601,1.000,25.0,1037.500,0.000000
12648440,601,1.000,25.0,1062.500,0.000000
12648440,601,1.000,25.0,1087.500,0.000000
12648440,601,1.000,25.0,1112.500,0.000000
12648440,601,1.000,25.0,1137.500,0.000000
12648440,601,1.000,25.0,1162.500,0.000000
12648440,601,1.000,25.0,1187.500,0.000000
12648440,602,1.000,25.0,12.500,0.000000
12648440,602,1.000,25.0,37.500,0.000000
12648440,602,1.000,25.0,62.500,0.062500
12648440,602,1.000,25.0,87.500,0.000000
12648440,602,1.000,25.0,112.500,0.312500
12648440,602,1.000,25.0,137.500,0.031250
12648440,602,1.000,25.0,162.500,0.000000
12648440,602,1.000,25.0,187.500,0.000000
12648440,602,1.000,25.0,212.500,0.000000
12648440,602,1.000,25.0,237.500,0.000000
12648440,602,1.000,25.0,262.500,0.187500
12648440,602,1.000,25.0,287.500,0.000000
12648440,602,1.000,25.0,312.500,0.093750
12648440,602,1.000,25.0,337.500,0.000000
12648440,602,1.000,25.0,362.500,0.000000
12648440,602,1.000,25.0,387.500,0.062500
12648440,602,1.000,25.0,412.500,0.000000
12648440,602,1.000,25.0,437.500,0.000000
12648440,602,1.000,25.0,462.500,0.000000
12648440,602,1.000,25.0,487.500,0.062500
12648440,602,1.000,25.0,512.500,0.031250
12648440,602,1.000,25.0,537.500,0.000000
12648440,602,1.000,25.0,562.500,0.000000
12648440,602,1.000,25.0,587.500,0.000000
12648440,602,1.000,25.0,612.500,0.000000
12648440,602,1.000,25.0,637.500,0.062500
12648440,602,1.000,25.0,662.500,0.093750
12648440,602,1.000,25.0,687.500,0.000000
12648440,602,1.000,25.0,712.500,0.000000
12648440,602,1.000,25.0,737.500,0.000000
12648440,602,1.000,25.0,762.500,0.000000
12648440,602,1.000,25.0,787.500,0.000000
12648440,602,1.000,25.0,812.500,0.000000
12648440,602,1.000,25.0,837.500,0.000000
12648440,602,1.000,25.0,862.500,0.000000
12648440,602,1.000,25.0,887.500,0.000000
12648440,602,1.000,25.0,912.500,0.000000
12648440,602,1.000,25.0,937.500,0.000000
12648440,602,1.000,25.0,962.500,0.000000
12648440,602,1.000,25.0,987.500,0.000000
12648440,602,1.000,25.0,1012.500,0.000000
12648440,602,1.000,25.0,1037.500,0.000000
12648440,602,1.000,25.0,1062.500,0.000000
12648440,602,1.000,25.0,1087.500,0.000000
12648440,602,1.000,25.0,1112.500,0.000000
12648440,602,1.000,25.0,1137.500,0.000000
12648440,602,1.000,25.0,1162.500,0.000000
12648440,602,1.000,25.0,1187.500,0.000000
12648440,603,1.000,25.0,12.500,0.000000
12648440,603,1.000,25.0,37.500,0.000000
12648440,603,1.000,25.0,62.500,0.062500
12648440,603,1.000,25.0,87.500,0.000000
12648440,603,1.000,25.0,112.500,0.312500
12648440,603,1.000,25.0,137.500,0.031250
12648440,603,1.000,25.0,162.500,0.000000
12648440,603,1.000,25.0,187.500,0.000000
12648440,603,1.000,25.0,212.500,0.000000
12648440,603,1.000,25.0,237.500,0.000000
12648440,603,1.000,25.0,262.500,0.187500
12648440,603,1.000,25.0,287.500,0.000000
12648440,603,1.000,25.0,312.500,0.093750
12648440,603,1.000,25.0,337.500,0.000000
12648440,603,1.000,25.0,362.500,0.000000
12648440,603,1.000,25.0,387.500,0.062500
12648440,603,1.000,25.0,412.500,0.000000
12648440,603,1.000,25.0,437.500,0.000000
12648440,603,1.000,25.0,462.500,0.000000
12648440,603,1.000,25.0,487.500,0.062500
12648440,603,1.000,25.0,512.500,0.031250
12648440,603,1.000,25.0,537.500,0.000000
12648440,603,1.000,25.0,562.500,0.000000
12648440,603,1.000,25.0,587.500,0.000000
12648440,603,1.000,25.0,612.500,0.000000
12648440,603,1.000,25.0,637.500,0.062500
12648440,603,1.000,25.0,662.500,0.093750
12648440,603,1.000,25.0,687.500,0.000000
12648440,603,1.000,25.0,712.500,0.000000
12648440,603,1.000,25.0,737.500,0.000000
12648440,603,1.000,25.0,762.500,0.000000
12648440,603,1.000,25.0,787.500,0.000000
12648440,603,1.000,25.0,812.500,0.000000
12648440,603,1.000,25.0,837.500,0.000000
12648440,603,1.000,25.0,862.500,0.000000
12648440,603,1.000,25.0,887.500,0.000000
12648440,603,1.000,25.0,912.500,0.000000
12648440,603,1.000,25.0,937.500,0.000000
12648440,603,1.000,25.0,962.500,0.000000
12648440,603,1.000,25.0,987.500,0.000000
12648440,603,1.000,25.0,1012.500,0.000000
12648440,603,1.000,25.0,1037.500,0.000000
12648440,603,1.000,25.0,1062.500,0.000000
12648440,603,1.000,25.0,1087.500,0.000000
12648440,603,1.000,25.0,1112.500,0.000000
12648440,603,1.000,25.0,1137.500,0.000000
12648440,603,1.000,25.0,1162.500,0.000000
12648440,603,1.000,25.0,1187.500,0.000000
12648440,604,1.000,25.0,12.500,0.000000
12648440,604,1.000,25.0,37.500,0.000000
12648440,604,1.000,25.0,62.500,0.062500
12648440,604,1.000,25.0,87.500,0.000000
12648440,604,1.000,25.0,112.500,0.312500
12648440,604,1.000,25.0,137.500,0.031250
12648440,604,1.000,25.0,162.500,0.000000
12648440,604,1.000,25.0,187.500,0.000000
12648440,604,1.000,25.0,212.500,0.000000
12648440,604,1.000,25.0,237.500,0.000000
12648440,604,1.000,25.0,262.500,0.187500
12648440,604,1.000,25.0,287.500,0.000000
12648440,604,1.000,25.0,312.500,0.093750
12648440,604,1.000,25.0,337.500,0.000000
12648440,604,1.000,25.0,362.500,0.000000
12648440,604,1.000,25.0,387.500,0.062500
12648440,604,1.000,25.0,412.500,0.000000
12648440,604,1.000,25.0,437.500,0.000000
12648440,604,1.000,25.0,462.500,0.000000
12648440,604,1.000,25.0,487.500,0.062500
12648440,604,1.000,25.0,512.500,0.031250
12648440,604,1.000,25.0,537.500,0.000000
12648440,604,1.000,25.0,562.500,0.000000
12648440,604,1.000,25.0,587.500,0.000000
12648440,604,1.000,25.0,612.500,0.000000
12648440,604,1.000,25.0,637.500,0.062500
12648440,604,1.000,25.0,662.500,0.093750
12648440,604,1.000,25.0,687.500,0.000000
12648440,604,1.000,25.0,712.500,0.000000
12648440,604,1.000,25.0,737.500,0.000000
12648440,604,1.000,25.0,762.500,0.000000
12648440,604,1.000,25.0,787.500,0.000000
12648440,604,1.000,25.0,812.500,0.000000
12648440,604,1.000,25.0,837.500,0.000000
12648440,604,1.000,25.0,862.500,0.000000
12648440,604,1.000,25.0,887.500,0.000000
12648440,604,1.000,25.0,912.500,0.000000
12648440,604,1.000,25.0,937.500,0.000000
12648440,604,1.000,25.0,962.500,0.000000
12648440,604,1.000,25.0,987.500,0.000000
12648440,604,1.000,25.0,1012.500,0.000000
12648440,604,1.000,25.0,1037.500,0.000000
12648440,604,1.000,25.0,1062.500,0.000000
12648440,604,1.000,25.0,1087.500,0.000000
12648440,604,1.000,25.0,1112.500,0.000000
12648440,604,1.000,25.0,1137.500,0.000000
12648440,604,1.000,25.0,1162.500,0.000000
12648440,604,1.000,25.0,1187.500,0.000000
12648440,605,1.000,25.0,12.500,0.000000
12648440,605,1.000,25.0,37.500,0.000000
12648440,605,1.000,25.0,62.500,0.062500
12648440,605,1.000,25.0,87.500,0.000000
12648440,605,1.000,25.0,112.500,0.312500
12648440,605,1.000,25.0,137.500,0.031250
12648440,605,1.000,25.0,162.500,0.000000
12648440,605,1.000,25.0,187.500,0.000000
12648440,605,1.000,25.0,212.500,0.000000
12648440,605,1.000,25.0,237.500,0.000000
12648440,605,1.000,25.0,262.500,0.187500
12648440,605,1.000,25.0,287.500,0.000000
12648440,605,1.000,25.0,312.500,0.093750
12648440,605,1.000,25.0,337.500,0.000000
12648440,605,1.000,25.0,362.500,0.000000
12648440,605,1.000,25.0,387.500,0.062500
12648440,605,1.000,25.0,412.500,0.000000
12648440,605,1.000,25.0,437.500,0.000000
12648440,605,1.000,25.0,462.500,0.000000
12648440,605,1.000,25.0,487.500,0.062500
12648440,605,1.000,25.0,512.500,0.031250
12648440,605,1.000,25.0,537.500,0.000000
12648440,605,1.000,25.0,562.500,0.000000
12648440,605,1.000,25.0,587.500,0.000000
12648440,605,1.000,25.0,612.500,0.000000
12648440,605,1.000,25.0,637.500,0.062500
12648440,605,1.000,25.0,662.500,0.093750
12648440,605,1.000,25.0,687.500,0.000000
12648440,605,1.000,25.0,712.500,0.000000
12648440,605,1.000,25.0,737.500,0.000000
12648440,605,1.000,25.0,762.500,0.000000
12648440,605,1.000,25.0,787.500,0.000000
12648440,605,1.000,25.0,812.500,0.000000
12648440,605,1.000,25.0,837.500,0.000000
12648440,605,1.000,25.0,862.500,0.000000
12648440,605,1.000,25.0,887.500,0.000000
12648440,605,1.000,25.0,912.500,0.000000
12648440,605,1.000,25.0,937.500,0.000000
12648440,605,1.000,25.0,962.500,0.000000
12648440,605,1.000,25.0,987.500,0.000000
12648440,605,1.000,25.0,1012.500,0.000000
12648440,605,1.000,25.0,1037.500,0.000000
12648440,605,1.000,25.0,1062.500,0.000000
12648440,605,1.000,25.0,1087.500,0.000000
12648440,605,1.000,25.0,1112.500,0.000000
12648440,605,1.000,25.0,1137.500,0.000000
12648440,605,1.000,25.0,1162.500,0.000000
12648440,605,1.000,25.0,1187.500,0.000000
12648440,606,1.000,25.0,12.500,0.000000
12648440,606,1.000,25.0,37.500,0.000000
12648440,606,1.000,25.0,62.500,0.062500
12648440,606,1.000,25.0,87.500,0.000000
12648440,606,1.000,25.0,112.500,0.312500
12648440,606,1.000,25.0,137.500,0.031250
12648440,606,1.000,25.0,162.500,0.000000
12648440,606,1.000,25.0,187.500,0.000000
12648440,606,1.000,25.0,212.500,0.000000
12648440,606,1.000,25.0,237.500,0.000000
12648440,606,1.000,25.0,262.500,0.187500
12648440,606,1.000,25.0,287.500,0.000000
12648440,606,1.000,25.0,312.500,0.093750
12648440,606,1.000,25.0,337.500,0.000000
12648440,606,1.000,25.0,362.500,0.000000
12648440,606,1.000,25.0,387.500,0.062500
12648440,606,1.000,25.0,412.500,0.000000
12648440,606,1.000,25.0,437.500,0.000000
12648440,606,1.000,25.0,462.500,0.000000
12648440,606,1.000,25.0,487.500,0.062500
12648440,606,1.000,25.0,512.500,0.031250
12648440,606,1.000,25.0,537.500,0.000000
12648440,606,1.000,25.0,562.500,0.000000
12648440,606,1.000,25.0,587.500,0.000000
12648440,606,1.000,25.0,612.500,0.000000
12648440,606,1.000,25.0,637.500,0.062500
12648440,606,1.000,25.0,662.500,0.093750
12648440,606,1.000,25.0,687.500,0.000000
12648440,606,1.000,25.0,712.500,0.000000
12648440,606,1.000,25.0,737.500,0.000000
12648440,606,1.000,25.0,762.500,0.000000
12648440,606,1.000,25.0,787.500,0.000000
12648440,606,1.000,25.0,812.500,0.000000
12648440,606,1.000,25.0,837.500,0.000000
12648440,606,1.000,25.0,862.500,0.000000
12648440,606,1.000,25.0,887.500,0.000000
12648440,606,1.000,25.0,912.500,0.000000
12648440,606,1.000,25.0,937.500,0.000000
12648440,606,1.000,25.0,962.500,0.000000
12648440,606,1.000,25.0,987.500,0.000000
12648440,606,1.000,25.0,1012.500,0.000000
12648440,606,1.000,25.0,1037.500,0.000000
12648440,606,1.000,25.0,1062.500,0.000000
12648440,606,1.000,25.0,1087.500,0.000000
12648440,606,1.000,25.0,1112.500,0.000000
12648440,606,1.000,25.0,1137.500,0.000000
12648440,606,1.000,25.0,1162.500,0.000000
12648440,606,1.000,25.0,1187.500,0.000000
12648440,607,1.000,25.0,12.500,0.000000
12648440,607,1.000,25.0,37.500,0.000000
12648440,607,1.000,25.0,62.500,0.062500
12648440,607,1.000,25.0,87.500,0.000000
12648440,607,1.000,25.0,112.500,0.312500
12648440,607,1.000,25.0,137.500,0.031250
12648440,607,1.000,25.0,162.500,0.000000
12648440,607,1.000,25.0,187.500,0.000000
12648440,607,1.000,25.0,212.500,0.000000
12648440,607,1.000,25.0,237.500,0.000000
12648440,607,1.000,25.0,262.500,0.187500
12648440,607,1.000,25.0,287.500,0.000000
12648440,607,1.000,25.0,312.500,0.093750
12648440,607,1.000,25.0,337.500,0.000000
12648440,607,1.000,25.0,362.500,0.000000
12648440,607,1.000,25.0,387.500,0.062500
12648440,607,1.000,25.0,412.500,0.000000
12648440,607,1.000,25.0,437.500,0.000000
12648440,607,1.000,25.0,462.500,0.000000
12648440,607,1.000,25.0,487.500,0.062500
12648440,607,1.000,25.0,512.500,0.031250
12648440,607,1.000,25.0,537.500,0.000000
